Drug_Name,Symptom_1,Symptom_2,Side_Effect,Uses,Price,Dosage,Similar_Tablets,Type
Abacavir,HIV Infection,HIV prevention (PEP),"Nausea, vomiting, headache. Serious: Hypersensitivity reaction (HSR).",Antiretroviral (NRTI),₹400 - ₹1200 per 30 tabs,"300 mg twice daily, or 600 mg once daily.","Lamivudine, Zidovudine.",Global Tablet
Abatacept,Rheumatoid Arthritis (RA),Juvenile Idiopathic Arthritis (JIA),"Injection site reactions, headache, URI.",Selective T-cell Costimulation Modulator (Biologic DMARD),"₹15,000 - ₹35,000 per injection",SC: 125 mg once weekly.,"Tocilizumab, Adalimumab.",Global Tablet/Injection
Abciximab,Acute Coronary Syndrome (ACS),Percutaneous Coronary Intervention (PCI),"Bleeding (major or minor), hypotension, bradycardia.",Platelet Aggregation Inhibitor (GP IIb/IIIa),High cost; procedural use,IV Bolus followed by IV Infusion.,"Eptifibatide, Tirofiban.",Global Injection
Abiraterone Acetate,Prostate Cancer (metastatic),High-risk prostate cancer,"Fatigue, fluid retention, hypertension, joint pain.",Androgen Biosynthesis Inhibitor (Anti-androgen),"₹2,500 - ₹20,000 per 120 tabs",1000 mg once daily (empty stomach).,"Enzalutamide, Apalutamide.",Global Tablet
Acamprosate Calcium,Alcohol Dependence (to maintain abstinence),Post-withdrawal management,"Diarrhea, nausea, flatulence, anxiety, dizziness.",GABA and Glutamate Modulation (Anti-craving agent),₹500 - ₹1200 per 30 tabs,666 mg three times daily.,"Disulfiram, Naltrexone.",Global Tablet
Acarbose,Type 2 Diabetes Mellitus,Impaired Glucose Tolerance,"Flatulence, abdominal pain, diarrhea.",Alpha-Glucosidase Inhibitor,₹50 - ₹150 per 10 tabs,50 mg to 100 mg three times daily (with meals).,"Miglitol, Voglibose.",Global Tablet
Acebutolol,Hypertension (High Blood Pressure),Angina Pectoris (Chest Pain),"Fatigue, dizziness, bradycardia.",Beta-1 Selective Adrenergic Blocker,₹80 - ₹250 per 10 tabs,200-800 mg per day.,"Atenolol, Metoprolol, Bisoprolol.",Global Tablet
Aceclofenac,Osteoarthritis (Joint Pain/Inflammation),"Rheumatoid Arthritis, Ankylosing Spondylitis","Indigestion, stomach pain, nausea, dizziness.",Non-Steroidal Anti-Inflammatory Drug (NSAID),₹40 - ₹120 per 10 tabs,100 mg twice daily.,"Diclofenac, Ibuprofen, Naproxen.",Indian Tablet
Acenocoumarol,Deep Vein Thrombosis (DVT),Prevention of stroke in Atrial Fibrillation,"Bleeding (bruising, nosebleeds), liver changes.",Vitamin K Antagonist (Oral Anticoagulant),₹20 - ₹60 per 10 tabs,Individualized based on INR monitoring.,"Warfarin, Phenindione.",Global Tablet
Acetazolamide,Glaucoma (High Eye Pressure),"Altitude Sickness, Edema (swelling)","Tingling/numbness (paresthesia), increased urination, headache.",Carbonic Anhydrase Inhibitor (Diuretic),₹50 - ₹150 per 10 tabs,Glaucoma: 250 mg to 1 g per day in divided doses.,"Dorzolamide, Methazolamide.",Global Tablet
Acetylcysteine,Respiratory diseases (excessive mucus),Paracetamol (Acetaminophen) overdose,"Nausea, vomiting, stomach pain, fever.",Mucolytic Agent / Antidote,₹40 - ₹250 per 10 tabs/injections,200 mg 2-3 times daily (Mucolytic).,"Carbocisteine, Ambroxol.",Global Tablet/Solution
Aciclovir IV,"Severe Herpes Simplex Infection (e.g., Encephalitis)",Varicella Zoster (immunocompromised),"Nausea, vomiting. Serious: Kidney injury, confusion.",Antiviral (DNA Polymerase Inhibitor),High cost (IV/hospital use),5–10 mg/kg every 8 hours (IV).,"Ganciclovir, Valaciclovir.",Global Injection
Aciclovir Oral,"Herpes Simplex (Cold sores, Genital herpes)","Varicella (Chickenpox), Herpes Zoster (Shingles)","Headache, nausea, diarrhea, vomiting.",Antiviral (DNA Polymerase Inhibitor),₹50 - ₹150 per 10 tabs,200-400 mg 2-5 times daily (depending on use).,"Valaciclovir, Famciclovir.",Global Tablet
Acipimox,Hyperlipidaemia (High Cholesterol/Triglycerides),Low HDL,"Flushing (redness/hot feeling), indigestion, nausea.","Anti-hyperlipidaemic, Nicotinic acid derivative",₹200 - ₹500 per 10 tabs,"250 mg 2-3 times daily, with food.","Niacin, Fenofibrate.",Global Tablet
Acitretin,Severe Psoriasis,Other severe skin disorders (Ichthyosis),"Dry skin, chapped lips, hair loss. Serious: Severe teratogen.",Retinoid (changes skin cell growth),₹150 - ₹500 per 10 caps,Initial: 25 to 50 mg once daily.,"Isotretinoin, Tazarotene.",Global Tablet
Acrivastine,Allergic Rhinitis (Hay fever symptoms),Urticaria (Hives),"Drowsiness (less common), dry mouth, dizziness.",H1 Receptor Antagonist (Antihistamine),₹40 - ₹100 per 10 caps,8 mg up to 3 times daily.,"Cetirizine, Loratadine.",Global Tablet
Adalimumab,Rheumatoid Arthritis (RA),"Psoriasis, Crohn's disease, Ulcerative Colitis","Injection site reactions, headache, increased risk of infection.","Biologic, TNF Inhibitor",Very High Cost; Specialty drug,"SC injection (e.g., 40 mg every other week).","Etanercept, Infliximab.",Global Injection
Adefovir Dipivoxil,Chronic Hepatitis B Virus (HBV) infection,-,"Headache, weakness. Serious: Nephrotoxicity, worsening hepatitis after stopping.",Antiviral (NtRTI),₹150 - ₹400 per 10 tabs,10 mg once daily.,"Tenofovir, Entecavir.",Global Tablet
Adenosine,Supraventricular Tachycardia (SVT),Pharmacologic stress testing,"Flushing, chest discomfort, shortness of breath.",Anti-arrhythmic,₹150 - ₹300 per vial,"6 mg rapid IV push, followed by 12 mg if needed.","Verapamil, Diltiazem.",Global Injection
Adrenaline (Epinephrine),Anaphylaxis (Severe allergic reaction),"Cardiac Arrest, Severe hypotension","Increased heart rate, palpitations, anxiety.",Alpha and Beta Adrenergic Agonist (Vasopressor),₹30 - ₹100 per ampoule,IM: 0.3-0.5 mg; IV/IO: 1 mg every 3-5 min.,"Noradrenaline, Dopamine.",Global Injection
Afatinib,Metastatic NSCLC (with specific EGFR mutation),-,"Diarrhea, rash, dry skin, stomatitis.",Tyrosine Kinase Inhibitor (TKI),Very High Cost; Specialty drug,40 mg once daily (empty stomach).,"Osimertinib, Gefitinib, Erlotinib.",Global Tablet
Aflibercept,Wet Age-related Macular Degeneration (AMD),Diabetic Macular Edema,"Eye pain, redness, blurred vision, vitreous floaters.",VEGF Inhibitor (Anti-angiogenic agent),Very High Cost; Specialty drug,"Intraocular injection (e.g., 2 mg, every 4-8 weeks).","Ranibizumab, Bevacizumab.",Global Injection
Agalsidase Alfa (Replagal),Fabry Disease (Enzyme Replacement Therapy),-,"Infusion reactions (fever, headache, nausea), chills.",Enzyme Replacement Therapy,Extremely High Cost; Specialty drug,"IV infusion, 0.2 mg/kg every other week.",Agalsidase Beta.,Global Injection
Agalsidase Beta (Fabrazyme),Fabry Disease (Enzyme Replacement Therapy),-,"Infusion reactions (headache, fever, chills).",Enzyme Replacement Therapy,Extremely High Cost; Specialty drug,"IV infusion, 1.0 mg/kg every other week.",Agalsidase Alfa.,Global Injection
Agomelatine,Major Depressive Episodes (in adults),Anxiety symptoms often associated with depression,"Headache, dizziness, nausea, liver enzyme elevation.",Melatonin Agonist and 5-HT$_{2C}$ Antagonist,₹80 - ₹200 per 10 tabs,25 mg once daily at bedtime.,"Vortioxetine, Trazodone.",Global Tablet
Albendazole,Parasitic worm infections (Hydatid disease),Neurocysticercosis,"Stomach pain, nausea, vomiting, headache.",Antihelminthic (Antiparasitic),₹5 - ₹50 per tablet,400 mg once or twice daily.,"Mebendazole, Ivermectin.",Global Tablet
Albiglutide,Type 2 Diabetes Mellitus,-,"Nausea, diarrhea, injection site reactions.",GLP-1 Receptor Agonist (Note: Discontinued globally),"High cost, discontinued.",SC injection once weekly.,"Dulaglutide, Liraglutide, Semaglutide.",Global Injection
Aldesleukin,Metastatic Renal Cell Carcinoma,Metastatic Melanoma,"Fever, chills, hypotension, capillary leak syndrome (serious).","Cytokine, Interleukin-2 (IL-2) Analogue",Very High Cost; Hospital/Oncology use,"IV Infusion, complex high-dose regimen.",Interferon Alpha.,Global Injection
Alemtuzumab (MabCampath),Chronic Lymphocytic Leukemia (CLL),Multiple Sclerosis (MS),"Infusion reactions, neutropenia, infection, autoimmune disorders (serious).",Monoclonal Antibody (targets CD52),Very High Cost; Specialty drug,IV Infusion; Dosing varies by indication.,"Rituximab, Ofatumumab.",Global Injection
Alendronic Acid,Osteoporosis (Postmenopausal),Paget's Disease of Bone,"Esophagitis (irritation), abdominal pain, musculoskeletal pain.",Bisphosphonate,₹50 - ₹200 per 4 tabs,"70 mg once weekly (must be taken with water, upright).","Risedronate, Ibandronate.",Global Tablet
Alfacalcidol,Renal Osteodystrophy,Hypoparathyroidism,"Hypercalcaemia (high calcium), nausea.",Vitamin D (Synthetic derivative of Vitamin D3​),₹100 - ₹300 per 10 caps,0.25 mcg to 1 mcg daily.,"Calcitriol, Paricalcitol.",Global Capsule
Alfentanil,General Anesthesia (Induction/Maintenance),Analgesia (Short-term pain control),"Respiratory depression, bradycardia, muscle rigidity.",Opioid Analgesic (Short-acting),High Cost; Procedural use,IV Injection/Infusion (individualized dosing).,"Fentanyl, Sufentanil, Remifentanil.",Global Injection
Alfuzosin Hydrochloride,Benign Prostatic Hyperplasia (BPH) symptoms,-,"Dizziness, headache, orthostatic hypotension.",Alpha-1 Adrenergic Blocker,₹150 - ₹350 per 10 tabs,10 mg once daily after a meal.,"Tamsulosin, Terazosin, Silodosin.",Global Tablet
Alimemazine tartrate,"Urticaria (Hives), Itching",Pre-operative Sedation,"Drowsiness, dry mouth, blurred vision.","Antihistamine, Phenothiazine derivative",₹50 - ₹150 per 10 tabs/syrup,10-40 mg daily in divided doses.,"Hydroxyzine, Promethazine.",Global Tablet/Syrup
Alirocumab,Hypercholesterolemia (refractory cases),ASCVD risk reduction,"Injection site reaction, flu-like symptoms, muscle pain.",PCSK9 Inhibitor (Monoclonal Antibody),Very High Cost; Specialty Injection,75 mg or 150 mg SC injection once every 2 weeks.,Evolocumab.,Global Injection
Aliskiren Fumarate,Hypertension (High Blood Pressure),-,"Diarrhea, headache, hyperkalemia (high potassium).",Direct Renin Inhibitor,₹200 - ₹500 per 10 tabs,150 mg or 300 mg once daily.,"Losartan (ARB), Ramipril (ACEI).",Global Tablet
Allopurinol,Gout (Acute and Chronic management),"Hyperuricemia, Kidney Stones","Rash (can be severe, SJS/TEN), nausea, diarrhea.",Xanthine Oxidase Inhibitor,₹20 - ₹80 per 10 tabs,100 mg to 300 mg once daily.,"Febuxostat, Probenecid.",Global Tablet
